WigleWifi-1.4,appRelease=2.25,model=LG-H850,release=7.0,device=h1,display=NRD90U,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
10:be:f5:35:3d:3a,shay1,[WPA-PSK-CCMP][ESS],2017-10-31 13:28:52,6,-84,32.10789705,35.10592865,400,37.92499923706055,WIFI
00:90:8f:63:68:8c,esti,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-10-31 13:28:52,10,-83,32.10789705,35.10592865,400,37.92499923706055,WIFI
14:cc:20:f1:25:c5,TP-LINK_Extender_F125C5,[WPS][ESS],2017-10-31 13:28:52,1,-81,32.10789705,35.10592865,400,37.92499923706055,WIFI
6c:b0:ce:2e:89:c9,elad,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 13:28:52,11,-81,32.10789705,35.10592865,400,37.92499923706055,WIFI
00:78:9e:ff:95:6e,Bar-ozhot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 13:28:52,11,-79,32.10789705,35.10592865,400,37.92499923706055,WIFI
d8:fe:e3:03:59:99,lior,[WPA2-PSK-CCMP][ESS],2017-10-31 13:28:52,6,-86,32.10789705,35.10592865,400,37.92499923706055,WIFI
b0:48:7a:e6:95:f0,TP-LINK_E695F0,[WPS][ESS],2017-10-31 13:28:52,4,-83,32.10789705,35.10592865,400,37.92499923706055,WIFI
e4:6f:13:72:65:18,haim,[WPA2-PSK-CCMP][ESS],2017-10-31 13:28:52,1,-85,32.10789705,35.10592865,400,37.92499923706055,WIFI
42501_7213_5455362,Partner,UNKNOWN;il,2017-10-31 13:28:52,0,-113,32.10789705,35.10592865,400,37.92499923706055,GSM
00:90:8f:63:68:8c,esti,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-10-31 13:28:54,10,-75,32.10793115,35.10593014,414,45.5099983215332,WIFI
d0:0e:d9:21:c2:a8,HOTBOX-802E_2GExt,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 13:28:56,1,-86,32.10796579,35.10590613,418,116.80899810791016,WIFI
5a:fe:e3:03:59:9a,Bezeq Free 035998,[ESS],2017-10-31 13:29:06,6,-87,32.10810885,35.10576403,418,209.3459930419922,WIFI
e4:6f:13:72:65:18,haim,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:06,1,-80,32.10810885,35.10576403,418,209.3459930419922,WIFI
00:78:9e:fa:b4:81,HOTBOX-802E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 13:29:06,1,-84,32.10810885,35.10576403,418,209.3459930419922,WIFI
00:78:9e:ff:95:6e,Bar-ozhot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 13:29:06,11,-73,32.10810885,35.10576403,418,209.3459930419922,WIFI
e4:6f:13:72:65:18,haim,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:06,1,-75,32.10810885,35.10576403,418,209.3459930419922,WIFI
06:ae:db:3a:6d:0d,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:06,9,-78,32.10810885,35.10576403,418,209.3459930419922,WIFI
14:ae:db:3a:6d:0d,bitton,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:06,9,-78,32.10810885,35.10576403,418,209.3459930419922,WIFI
d0:0e:d9:21:c2:a8,HOTBOX-802E_2GExt,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 13:29:06,1,-81,32.10810885,35.10576403,418,209.3459930419922,WIFI
30:b5:c2:f4:21:31,korait,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-31 13:29:06,6,-83,32.10810885,35.10576403,418,209.3459930419922,WIFI
14:ae:db:cf:ec:65,BEZEQINT-EC61,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-31 13:29:06,11,-83,32.10810885,35.10576403,418,209.3459930419922,WIFI
b0:48:7a:e6:95:f0,TP-LINK_E695F0,[WPS][ESS],2017-10-31 13:29:06,4,-78,32.10810885,35.10576403,418,209.3459930419922,WIFI
e8:94:f6:ee:d4:e4,biton10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 13:29:22,11,-82,32.10769081,35.10549985,446,68.26499938964844,WIFI
30:b5:c2:f4:21:31,korait,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-31 13:29:24,6,-65,32.10765976,35.10531637,451,54.61199951171875,WIFI
14:ae:db:54:59:ed,korait,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:24,6,-79,32.10765976,35.10531637,451,54.61199951171875,WIFI
a0:d3:c1:87:e9:22,HP-Print-22-Officejet 6700,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:24,6,-86,32.10765976,35.10531637,451,54.61199951171875,WIFI
b0:48:7a:e6:95:f0,TP-LINK_E695F0,[WPS][ESS],2017-10-31 13:29:26,4,-67,32.10764534,35.10502751,446,53.09499740600586,WIFI
14:ae:db:58:4e:4d,26604934,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:26,11,-78,32.10764534,35.10502751,446,53.09499740600586,WIFI
b0:48:7a:e6:95:f0,TP-LINK_E695F0,[WPS][ESS],2017-10-31 13:29:28,4,-62,32.10783205,35.10502002,434,40.95899963378906,WIFI
10:be:f5:35:3d:3a,shay1,[WPA-PSK-CCMP][ESS],2017-10-31 13:29:30,6,-85,32.10750765,35.10490457,471,40.95899963378906,WIFI
6c:b0:ce:2e:89:c9,elad,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 13:29:30,11,-82,32.10750765,35.10490457,471,40.95899963378906,WIFI
48:ee:0c:3f:ac:6b,DIAMANT,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:30,11,-87,32.10750765,35.10490457,471,40.95899963378906,WIFI
42501_7213_5455362,Partner,UNKNOWN;il,2017-10-31 13:29:30,0,-113,32.10750765,35.10490457,471,40.95899963378906,GSM
14:ae:db:cd:5f:aa,BenodizL,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:33,2,-80,32.10736557,35.10487962,518,71.29899597167969,WIFI
00:78:9e:ff:95:6e,Bar-ozhot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-31 13:29:35,11,-82,32.10707057,35.10460658,454,50.060997009277344,WIFI
e4:6f:13:72:65:18,haim,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:35,1,-81,32.10707057,35.10460658,454,50.060997009277344,WIFI
06:ae:db:3a:6d:0d,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:35,9,-85,32.10707057,35.10460658,454,50.060997009277344,WIFI
14:ae:db:cf:ec:65,BEZEQINT-EC61,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-31 13:29:35,11,-80,32.10707057,35.10460658,454,50.060997009277344,WIFI
48:ee:0c:3f:ac:6b,DIAMANT,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:35,11,-82,32.10707057,35.10460658,454,50.060997009277344,WIFI
72:ee:0c:3f:ac:68,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:35,11,-78,32.10707057,35.10460658,454,50.060997009277344,WIFI
14:ae:db:30:6f:82,debi,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:35,9,-80,32.10707057,35.10460658,454,50.060997009277344,WIFI
c4:a8:1d:14:54:2e,noyman2,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:35,1,-83,32.10707057,35.10460658,454,50.060997009277344,WIFI
c4:e9:84:50:b1:d3,noyman,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-31 13:29:35,2,-83,32.10707057,35.10460658,454,50.060997009277344,WIFI
80:1f:02:e9:06:6e,Diamant_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 13:29:35,10,-85,32.10707057,35.10460658,454,50.060997009277344,WIFI
44:33:4c:fc:7f:6e,B-LINK_FC7F6E,[WEP][ESS],2017-10-31 13:29:35,1,-78,32.10707057,35.10460658,454,50.060997009277344,WIFI
44:33:4c:fc:7f:6f,Diamant1,[WEP][ESS],2017-10-31 13:29:35,1,-79,32.10707057,35.10460658,454,50.060997009277344,WIFI
14:ae:db:30:6f:82,debi,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:37,9,-75,32.10721314,35.10469071,449,15.170000076293945,WIFI
42501_10072_479968,Partner,HSDPA;il,2017-10-31 13:29:38,0,-113,32.10728848,35.10460258,440,19.720998764038086,GSM
74:da:38:13:f5:0c,Hasson Home_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-10-31 13:29:41,1,-79,32.10729626,35.10455874,450,9.101999282836914,WIFI
64:a5:c3:6f:4f:d8,Yadin AirPort,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:41,11,-88,32.10729626,35.10455874,450,9.101999282836914,WIFI
c4:e9:84:50:b1:d3,noyman,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-31 13:29:43,2,-76,32.10716989,35.10437176,459,9.101999282836914,WIFI
64:a5:c3:6f:4f:d8,Yadin AirPort,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:43,11,-81,32.10716989,35.10437176,459,9.101999282836914,WIFI
f8:ab:05:46:c0:00,atamy,[WPA2-PSK-CCMP][ESS],2017-10-31 13:29:43,11,-88,32.10716989,35.10437176,459,9.101999282836914,WIFI
