WigleWifi-1.4,appRelease=2.26,model=ONEPLUS A3010,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3010_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
24:c9:a1:36:55:f8,Ariel_University,[ESS],2017-10-30 12:06:14,11,-54,32.10439236,35.20449021,661,19.720998764038086,WIFI
8c:0c:90:30:05:58,Ariel_University,[ESS],2017-10-30 12:06:14,11,-62,32.10439236,35.20449021,661,19.720998764038086,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-10-30 12:06:14,1,-79,32.10439236,35.20449021,661,19.720998764038086,WIFI
24:c9:a1:36:56:e8,Ariel_University,[ESS],2017-10-30 12:06:14,6,-76,32.10439236,35.20449021,661,19.720998764038086,WIFI
a0:ab:1b:63:40:be,not_your_wifi,[WPA2-PSK-CCMP][ESS],2017-10-30 12:06:14,2,-79,32.10439236,35.20449021,661,19.720998764038086,WIFI
24:c9:a1:76:5c:33,island-365C30,[WPA2-PSK-CCMP][ESS],2017-10-30 12:06:14,12,-81,32.10439236,35.20449021,661,19.720998764038086,WIFI
8c:0c:90:ae:f0:d3,,[WPA2-PSK-CCMP][ESS],2017-10-30 12:06:14,1,-79,32.10439236,35.20449021,661,19.720998764038086,WIFI
8c:0c:90:2f:ca:48,Ariel_University,[ESS],2017-10-30 12:06:14,11,-80,32.10439236,35.20449021,661,19.720998764038086,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-10-30 12:06:14,0,-77,32.10439236,35.20449021,661,19.720998764038086,GSM
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-10-30 12:06:14,6,-94,32.10439236,35.20449021,661,19.720998764038086,WIFI
24:c9:a1:36:2f:38,Ariel_University,[ESS],2017-10-30 12:06:45,1,-88,32.10445161,35.20447579,651,6.067999839782715,WIFI
42503_6701_4464097,Rami Levy,HSPA;il,2017-10-30 12:07:18,0,-79,32.10445169,35.2044872,651,13.652999877929688,GSM
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-10-30 12:07:27,6,-85,32.10445131,35.20448783,651,13.652999877929688,WIFI
42503_6701_4464097,Rami Levy,HSPA;il,2017-10-30 12:07:43,0,-73,32.10445264,35.20449077,652,13.652999877929688,GSM
8c:0c:90:ae:f0:d3,,[WPA2-PSK-CCMP][ESS],2017-10-30 12:07:47,1,-74,32.10445268,35.20449161,652,13.652999877929688,WIFI
24:c9:a1:36:52:f8,Ariel_University,[ESS],2017-10-30 12:07:47,1,-87,32.10445268,35.20449161,652,13.652999877929688,WIFI
24:c9:a1:b6:5c:33,,[WPA2-PSK-CCMP][ESS],2017-10-30 12:07:49,11,-89,32.10445262,35.20449169,652,13.652999877929688,WIFI
24:c9:a1:33:3d:08,Ariel_University,[ESS],2017-10-30 12:07:49,6,-85,32.10445262,35.20449169,652,13.652999877929688,WIFI
8c:0c:90:30:05:58,Ariel_University,[ESS],2017-10-30 12:09:48,11,-56,32.10443776,35.20454223,652,13.652999877929688,WIFI
24:c9:a1:35:aa:08,Ariel_University,[ESS],2017-10-30 12:09:54,11,-93,32.10443226,35.20454484,652,13.652999877929688,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-10-30 12:10:04,1,-73,32.1044321,35.2045374,652,4.550999641418457,WIFI
24:c9:a1:36:55:f8,Ariel_University,[ESS],2017-10-30 23:42:10,11,-43,32.10437744,35.20460922,659,18.203998565673828,WIFI
8c:0c:90:2f:ca:48,Ariel_University,[ESS],2017-10-30 23:42:10,11,-88,32.10437744,35.20460922,659,18.203998565673828,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-10-30 23:42:10,0,-69,32.10437744,35.20460922,659,18.203998565673828,GSM
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-10-30 23:42:12,1,-82,32.10440975,35.20463836,656,15.170000076293945,WIFI
a0:ab:1b:63:40:be,not_your_wifi,[WPA2-PSK-CCMP][ESS],2017-10-30 23:42:20,2,-86,32.10437866,35.20459091,666,15.170000076293945,WIFI
24:c9:a1:36:2f:38,Ariel_University,[ESS],2017-10-30 23:42:28,1,-83,32.10437426,35.20457751,658,15.170000076293945,WIFI
